설치읍면동,위도,경도
강원도 원주시 관설동 섭재삼보길,37.311311,127.976803
강원도 횡성군 소초면 학곡리 462-1,37.440494,128.062169
강원도 횡성군 소초면 학곡리 462-1,37.440494,128.062169
강원도 횡성군 소초면 둔둔리 산32-30,37.4549412,127.9786311
강원도 횡성군 소초면 둔둔리 산32-30,37.4549412,127.9786311
강원도 횡성군 소초면 둔둔리 산32-30,37.4549412,127.9786311
강원도 원주시 단계동 898-6,37.3429604,127.933754
강원도 원주시 단계동 924-5,37.3381386,127.932663
강원도 원주시 단계동 930-13,37.3388214,127.9339371
강원도 원주시 단계동 888-7,37.3415298,127.931366
강원도 원주시 단계동 837-2,37.348568,127.9293213
강원도 원주시 단계동 822-3,37.3494453,127.9320755
강원도 원주시 단계동 826-11,37.3476791,127.9335861
강원도 원주시 단계동 817,37.3499184,127.9294434
강원도 원주시 일산동 289-6,37.3458366,127.9428711
강원도 원주시 명륜1동 259-23,37.3378792,127.9499435
강원도 원주시 문막읍 건등리 1704,37.3135109,127.8207245
강원도 원주시 명륜2동 503,37.3328743,127.9453583
강원도 원주시 명륜2동 836-1,37.3271103,127.9408188
강원도 원주시 명륜2동 851-2,37.3305054,127.944191
강원도 원주시 태장2동 1362-10,37.3856239,127.9505692
강원도 원주시 단계동 821,37.3493996,127.9306259
강원도 원주시 단구동 1528-13,37.3245392,127.9433136
강원도 원주시 단구동 1558-1,37.3229637,127.9436722
강원도 원주시 개운동 397-25,37.3410683,127.956955
강원도 원주시 단구동 1579-2,37.323143,127.9499283
강원도 원주시 반곡관설동 1661-12,37.3208961,127.9627228
강원도 원주시 개운동 403-17,37.3392105,127.9582672
강원도 원주시 반곡관설동 1761-4,37.3158455,127.9594574
강원도 원주시 일산동 268-14,37.3482437,127.9421997
강원도 원주시 태장2동 1379-23,37.3841667,127.9485397
강원도 원주시 단계동 183-2,37.3536263,127.9323273
강원도 원주시 명륜1동 90-15,37.3427582,127.9540176
강원도 원주시 단계동 903,37.3412971,127.9338379
강원도 원주시 단구동 1458-31,37.3295746,127.9549866
강원도 원주시 단계동 790-16,37.3454056,127.9359894
강원도 원주시 단계동 811,37.3507538,127.9325638
강원도 원주시 단구동 1515-1,37.3309631,127.9480057
강원도 원주시 판부면 서곡리 2011-2,37.3196297,127.949234
강원도 원주시 판부면 서곡리 1989-2,37.3214073,127.9425812
강원도 원주시 원인동 248-8,37.3455963,127.9477921
강원도 원주시 일산동 187-48,37.3502922,127.9426422
강원도 원주시 중앙동 105-2,37.3497238,127.9506531
강원도 원주시 중앙동 352-19,37.3495674,127.9540176
강원도 원주시 봉산동 1189-6,37.3425026,127.9659195
강원도 원주시 일산동 154-266,37.3460846,127.9449539
강원도 원주시 원인동 170-2,37.3469315,127.951088
강원도 원주시 학성동 1026-1,37.3560371,127.9367752
강원도 원주시 일산동 339-2,37.3450813,127.9408417
강원도 원주시 봉산동 917-17,37.3452721,127.9616852
강원도 원주시 봉산동 925-5,37.3428001,127.9635468
강원도 원주시 명륜2동 837-4,37.3274612,127.941925
강원도 원주시 태장2동 1358-2,37.3864174,127.9514771
강원도 원주시 우산동 196-9,37.3639793,127.9362183
강원도 원주시 우산동 205-3,37.3689995,127.9351044
강원도 원주시 우산동 240-4,37.3663063,127.9344559
강원도 원주시 우산동 228-2,37.3685989,127.937851
강원도 원주시 우산동 228-2,37.3685989,127.937851
강원도 원주시 우산동 228-2,37.3685989,127.937851
강원도 원주시 우산동 228-2,37.3685989,127.937851
강원도 원주시 우산동 244-1,37.3666954,127.9374237
강원도 원주시 우산동 89-4,37.3670921,127.9405594
강원도 원주시 단계동 887,37.342289,127.9322052
강원도 원주시 단계동 931,37.3387299,127.9351501
강원도 원주시 단계동 1102-5,37.3485985,127.9257965
강원도 원주시 태장2동 1397-13,37.3816757,127.9493256
강원도 원주시 학성동 311-38,37.3537216,127.9464722
강원도 원주시 일산동 53-29,37.3486137,127.9487686
강원도 원주시 단구동 1523-15,37.3265381,127.9437103
강원도 원주시 단구동 1630-1,37.3234444,127.9566269
강원도 원주시 단구동 1475-1,37.3214569,127.9654846
강원도 원주시 단구동 87-6,37.3243065,127.9640121
강원도 원주시 개운동 402-29,37.3398552,127.9590302
강원도 원주시 반곡관설동 1687-7,37.3192482,127.9633484
강원도 원주시 무실동 1669-2,37.3328438,127.923584
강원도 원주시 무실동 1672-4,37.3325043,127.9221039
강원도 원주시 무실동 1676-2,37.3342018,127.9213867
강원도 원주시 판부면 서곡리 2013-7,37.3186302,127.9496002
강원도 원주시 우산동 95-14,37.363266,127.9393387
강원도 원주시 부론면 법천리 1540-1,37.2071342,127.7500076
강원도 원주시 우산동 260-3,37.3692284,127.9337997
강원도 원주시 명륜1동 103-5,37.3417397,127.9543076
강원도 원주시 원인동 362,37.3472748,127.9486313
강원도 원주시 태장1동 808,37.3602676,127.9528122
