관리기관명,소재지지번주소,설치년월,보관일수,카메라대수,경도,소재지도로명주소,위도,설치목적구분,촬영방면정보,데이터기준일자,카메라화소수,관리기관전화번호
강원도청,강원도 원주시 관설동 섭재삼보길,,0,1,127.976803,,37.311311,재난재해,원주시 관설동 대평교,2018-03-07,,02-2100-5397
강원도 횡성군청,강원도 횡성군 소초면 학곡리 462-1,10-May,30,1,128.062169,,37.440494,차량방범,,2017-05-17,130,033-340-2961
강원도 횡성군청,강원도 횡성군 소초면 학곡리 462-1,10-May,90,1,128.062169,,37.440494,차량방범,,2017-05-17,149,033-340-2961
강원도 횡성군청,강원도 횡성군 소초면 둔둔리 산32-30,09-Mar,90,1,127.9786311,,37.4549412,차량방범,,2017-05-17,149,033-340-2961
강원도 횡성군청,강원도 횡성군 소초면 둔둔리 산32-30,15-Feb,90,1,127.9786311,,37.4549412,차량방범,,2017-05-17,149,033-340-2961
강원도 횡성군청,강원도 횡성군 소초면 둔둔리 산32-30,15-Feb,30,1,127.9786311,,37.4549412,차량방범,,2017-05-17,130,033-340-2961
강원도 원주시청,강원도 원주시 단계동 898-6,13-Sep,30,1,127.933754,강원도 원주시 이화4길 73,37.3429604,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 924-5,13-Sep,30,1,127.932663,"강원도 원주시 이화3길 31, (단계동)",37.3381386,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 930-13,13-Sep,30,1,127.9339371,"강원도 원주시 이화3길 28-20, (단계동)",37.3388214,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 888-7,13-Sep,30,1,127.931366,"강원도 원주시 이화5길 31, (단계동)",37.3415298,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 837-2,13-Sep,30,1,127.9293213,"강원도 원주시 봉화로 46, (단계동)",37.348568,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 822-3,13-Sep,30,1,127.9320755,"강원도 원주시 금불3길 21, (단계동)",37.3494453,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 826-11,13-Sep,30,1,127.9335861,"강원도 원주시 금불4길 2, (단계동)",37.3476791,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 단계동 817,13-Sep,30,1,127.9294434,강원도 원주시 봉화로 62,37.3499184,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 일산동 289-6,13-Jun,30,1,127.9428711,"강원도 원주시 일산초교길 4, (일산동)",37.3458366,생활방범,360도 회전,2018-07-27,200,033-737-5146
강원도 원주시청,강원도 원주시 명륜1동 259-23,14-Jan,30,1,127.9499435,"강원도 원주시 교촌길 2, (명륜동)",37.3378792,생활방범,360도 회전,2018-07-27,200,033-737-5146
